date,price,var,qntd
19/07/2016,"11,78","1,99","53476600,0"
18/07/2016,"11,55","4,81","76735200,0"
15/07/2016,"11,02","0,82","50548500,0"
14/07/2016,"10,93","2,82","52858500,0"
13/07/2016,"10,63","-0,19","63853200,0"
12/07/2016,"10,65","2,8","57746000,0"
11/07/2016,"10,36","5,28","66292400,0"
08/07/2016,"9,84","2,93","42461600,0"
07/07/2016,"9,56","0,63","81055500,0"
06/07/2016,"9,5","2,26","67388800,0"
05/07/2016,"9,29","-5,88","69346700,0"
04/07/2016,"9,87","0,51","24178400,0"
01/07/2016,"9,82","4,25","48955300,0"
30/06/2016,"9,42","-0,84","43553100,0"
29/06/2016,"9,5","3,26","55797800,0"
28/06/2016,"9,2","4,78","45074700,0"
27/06/2016,"8,78","-5,08","58414200,0"
24/06/2016,"9,25","-4,34","75415500,0"
23/06/2016,"9,67","3,53","47585300,0"
22/06/2016,"9,34","-1,99","61513800,0"
21/06/2016,"9,53","3,81","53088200,0"
20/06/2016,"9,18","2,57","63528500,0"
17/06/2016,"8,95","5,29","62846500,0"
16/06/2016,"8,5","-0,12","46684700,0"
15/06/2016,"8,51","2,53","84452900,0"
14/06/2016,"8,3","-3,71","65765900,0"
13/06/2016,"8,62","-1,82","36940400,0"
10/06/2016,"8,78","-4,36","38477900,0"
09/06/2016,"9,18","-2,24","46363000,0"
08/06/2016,"9,39","8,93","76884500,0"
07/06/2016,"8,62","1,89","34237400,0"
06/06/2016,"8,46","-1,28","36641500,0"
03/06/2016,"8,57","2,02","45258900,0"
02/06/2016,"8,4","2,69","52835100,0"
01/06/2016,"8,18","1,74","45684200,0"
31/05/2016,"8,04","-4,06","58131400,0"
30/05/2016,"8,38","1,82","32026500,0"
27/05/2016,"8,23","-5,07","46731500,0"
25/05/2016,"8,67","1,64","45197600,0"
24/05/2016,"8,53","0,35","44460400,0"
23/05/2016,"8,5","-4,49","50931700,0"
20/05/2016,"8,9","-0,67","64767100,0"
19/05/2016,"8,96","-3,86","75046800,0"
18/05/2016,"9,32","-1,89","51586000,0"
17/05/2016,"9,5","-2,56","45956300,0"
16/05/2016,"9,75","3,07","61299400,0"
13/05/2016,"9,46","-3,37","69333400,0"
12/05/2016,"9,79","-4,49","66483700,0"
11/05/2016,"10,25","0,39","74096100,0"
10/05/2016,"10,21","7,7","52427200,0"
09/05/2016,"9,48","-5,95","93854800,0"
